seal_id,group_id,date_,day_of_yr,year,ET_ID,ET_X,ET_Y,site,PupClass
3604,206,06-22-2004,174,2004,3603,795949.2321,1195606.798,DB,n
3605,207,06-22-2004,174,2004,3604,795983.4277,1195755.185,DB,y
3606,208,06-22-2004,174,2004,3605,795947.442,1195752.523,DB,n
3607,213,06-22-2004,174,2004,3606,796035.2951,1196766.033,DB,n
3608,214,06-22-2004,174,2004,3607,795921.5465,1196640.446,DB,n
3609,215,06-22-2004,174,2004,3608,795982.8339,1196868.506,DB,n
3610,220,06-22-2004,174,2004,3609,796015.2137,1197512.85,DB,n
3611,220,06-22-2004,174,2004,3610,796015.185,1197512.252,DB,y
3612,221,06-22-2004,174,2004,3611,796036.6233,1197516.717,DB,n
3613,222,06-22-2004,174,2004,3612,796002.1535,1197543.674,DB,n
3614,223,06-22-2004,174,2004,3613,796034.2897,1197593.451,DB,n
3615,223,06-22-2004,174,2004,3614,796033.6451,1197593.428,DB,y
3616,228,06-22-2004,174,2004,3615,796118.4045,1198842.302,DB,n
3617,228,06-22-2004,174,2004,3616,796119.2563,1198843.153,DB,n
3618,228,06-22-2004,174,2004,3617,796120.0402,1198843.59,DB,y
3619,229,06-22-2004,174,2004,3618,796102.5808,1198842.866,DB,n
3620,229,06-22-2004,174,2004,3619,796103.3063,1198843.032,DB,y
3621,230,06-22-2004,174,2004,3620,796084.7455,1198881.071,DB,n
3622,230,06-22-2004,174,2004,3621,796084.8832,1198880.2,DB,y
3623,230,06-22-2004,174,2004,3622,796085.0674,1198879.243,DB,n
3624,231,06-22-2004,174,2004,3623,796042.4113,1198878.284,DB,n
3625,232,06-22-2004,174,2004,3624,796058.52,1198873.659,DB,y
3626,237,06-22-2004,174,2004,3625,796166.4659,1200269.861,DB,n
3627,237,06-22-2004,174,2004,3626,796166.7533,1200269.302,DB,n
3628,237,06-22-2004,174,2004,3627,796168.0442,1200269.425,DB,y
3629,267,06-22-2004,174,2004,3628,796174.9301,1194642.43,DB,n
3630,269,06-22-2004,174,2004,3629,796243.7557,1194863.048,DB,n
3631,269,06-22-2004,174,2004,3630,796243.2605,1194863.477,DB,y
3632,270,06-22-2004,174,2004,3631,796252.7692,1194899.635,DB,n
3633,270,06-22-2004,174,2004,3632,796252.3223,1194898.102,DB,n
3634,270,06-22-2004,174,2004,3633,796254.1452,1194898.428,DB,n
3635,271,06-22-2004,174,2004,3634,796191.5237,1194925.036,DB,n
3636,271,06-22-2004,174,2004,3635,796192.8529,1194924.157,DB,n
3637,272,06-22-2004,174,2004,3636,796254.3643,1194922.78,DB,n
3638,273,06-22-2004,174,2004,3637,796216.8483,1194992.617,DB,n
3639,274,06-22-2004,174,2004,3638,796217.5111,1195079.675,DB,n
3640,275,06-22-2004,174,2004,3639,796197.6035,1195096.698,DB,n
3641,276,06-22-2004,174,2004,3640,796192.9654,1195176.151,DB,n
3642,277,06-22-2004,174,2004,3641,796260.0169,1195192.363,DB,n
3643,277,06-22-2004,174,2004,3642,796260.1828,1195191.763,DB,y
3644,278,06-22-2004,174,2004,3643,796196.7667,1195220.547,DB,n
3645,279,06-22-2004,174,2004,3644,796259.5756,1195223.408,DB,n
3646,280,06-22-2004,174,2004,3645,796215.534,1195263.314,DB,n
3647,281,06-22-2004,174,2004,3646,796242.2819,1195299.397,DB,n
3648,282,06-22-2004,174,2004,3647,796265.7115,1195255.234,DB,n
3649,284,06-22-2004,174,2004,3648,796236.5369,1195367.357,DB,n
3650,284,06-22-2004,174,2004,3649,796237.7378,1195364.443,DB,n
3651,284,06-22-2004,174,2004,3650,796241.0466,1195363.786,DB,n
3652,285,06-22-2004,174,2004,3651,796307.7931,1195504.432,DB,n
3653,287,06-22-2004,174,2004,3652,796285.5578,1195631.556,DB,n
3654,291,06-22-2004,174,2004,3653,796356.5723,1197021.743,DB,n
3655,292,06-22-2004,174,2004,3654,796412.1251,1197049.074,DB,n
3656,292,06-22-2004,174,2004,3655,796412.5185,1197049.385,DB,y
