x,y,Predictions
793927.901171853,1186989.33279942,2.8303565173197e-05
793927.901171853,1186936.32329248,2.96756526456381e-05
793927.901171853,1186883.31378554,3.10178829823424e-05
793927.901171853,1186830.3042786,3.2321123011104e-05
793927.901171853,1186777.29477165,3.35763865030626e-05
793927.901171853,1186724.28526471,3.47749581304865e-05
793927.901171853,1186671.27575777,3.59085142425595e-05
793927.901171853,1186618.26625083,3.69692378143696e-05
793927.901171853,1186565.25674388,3.79499250755592e-05
793927.901171853,1186512.24723694,3.88440815521454e-05
793927.901171853,1186459.23773,3.96460055487839e-05
793927.901171853,1186406.22822306,4.03508574478314e-05
793927.901171853,1186353.21871612,4.09547135927117e-05
793927.901171853,1186300.20920917,4.14546039412143e-05
793927.901171853,1186247.19970223,4.18485331046043e-05
793980.906364627,1188314.57047298,3.69893525287247e-06
793980.906364627,1188261.56096603,4.1963059498889e-06
793980.906364627,1188208.55145909,4.74763871112307e-06
793980.906364627,1188155.54195215,5.3565448122741e-06
793980.906364627,1188102.53244521,6.02651286989258e-06
793980.906364627,1188049.52293827,6.7608404035322e-06
793980.906364627,1187996.51343132,7.56255989807107e-06
793980.906364627,1187943.50392438,8.43436040894457e-06
793980.906364627,1187890.49441744,9.37850601834051e-06
793980.906364627,1187837.4849105,1.03967527059727e-05
793980.906364627,1187784.47540356,1.14902654325371e-05
793980.906364627,1187731.46589661,1.26595374359403e-05
793980.906364627,1187678.45638967,1.39043138979689e-05
793980.906364627,1187625.44688273,1.52235222412839e-05
793980.906364627,1187572.43737579,1.66152113537335e-05
793980.906364627,1187519.42786884,1.80765020007739e-05
793980.906364627,1187466.4183619,1.96035505717847e-05
793980.906364627,1187413.40885496,2.11915281097965e-05
793980.906364627,1187360.39934802,2.28346162968778e-05
793980.906364627,1187307.38984108,2.45260217139837e-05
793980.906364627,1187254.38033413,2.62580092719461e-05
793980.906364627,1187201.37082719,2.80219552313305e-05
793980.906364627,1187148.36132025,2.98084197074831e-05
793980.906364627,1187095.35181331,3.16072380109239e-05
793980.906364627,1187042.34230636,3.34076296217282e-05
793980.906364627,1186989.33279942,3.51983230595669e-05
793980.906364627,1186936.32329248,3.69676944105504e-05
793980.906364627,1186883.31378554,3.87039168264526e-05
793980.906364627,1186830.3042786,4.03951179405655e-05
793980.906364627,1186777.29477165,4.20295418621353e-05
793980.906364627,1186724.28526471,4.35957122300286e-05
793980.906364627,1186671.27575777,4.50825927341738e-05
793980.906364627,1186618.26625083,4.64797415532917e-05
793980.906364627,1186565.25674388,4.77774563085576e-05
793980.906364627,1186512.24723694,4.89669063889457e-05
793980.906364627,1186459.23773,5.00402498551122e-05
793980.906364627,1186406.22822306,5.09907325610496e-05
793980.906364627,1186353.21871612,5.18127676289467e-05
793980.906364627,1186300.20920917,5.25019939546178e-05
793980.906364627,1186247.19970223,5.30553129874687e-05
794033.9115574,1188420.58948686,3.34221721417927e-06
794033.9115574,1188367.57997992,3.82070198633875e-06
794033.9115574,1188314.57047298,4.35636179582872e-06
794033.9115574,1188261.56096603,4.95393121346942e-06
794033.9115574,1188208.55145909,5.61817637468345e-06
794033.9115574,1188155.54195215,6.35382790159672e-06
794033.9115574,1188102.53244521,7.16550463038641e-06
794033.9115574,1188049.52293827,8.05762865146892e-06
794033.9115574,1187996.51343132,9.03433249702748e-06
